date,open,high,low,close,volume,average,barCount
2025-05-13 11:15:00-04:00,422.47,423.05,422.45,422.8,61190.0,422.714,341
2025-05-13 11:30:00-04:00,422.72,423.25,422.65,423.17,74465.0,422.944,433
2025-05-13 11:45:00-04:00,423.22,423.46,422.57,422.67,52527.0,422.946,257
2025-05-13 12:00:00-04:00,422.7,422.7,422.2,422.57,67924.0,422.492,358
2025-05-13 12:15:00-04:00,422.51,422.56,422.08,422.27,25428.0,422.334,156
2025-05-13 12:30:00-04:00,422.29,422.45,421.98,422.33,50956.0,422.261,308
2025-05-13 12:45:00-04:00,422.37,422.66,422.2,422.23,71625.0,422.389,434
2025-05-13 13:00:00-04:00,422.28,422.39,422.11,422.31,23595.0,422.28,121
2025-05-13 13:15:00-04:00,422.31,422.97,422.27,422.9,27156.0,422.719,131
2025-05-13 13:30:00-04:00,422.94,423.47,422.81,422.81,55536.0,423.091,345
2025-05-13 13:45:00-04:00,422.8,423.09,422.56,422.63,32926.0,422.838,195
2025-05-13 14:00:00-04:00,422.61,422.8,422.36,422.63,34119.0,422.603,147
2025-05-13 14:15:00-04:00,422.56,422.74,422.32,422.32,35415.0,422.537,180
2025-05-13 14:30:00-04:00,422.29,422.39,421.96,422.08,32008.0,422.202,127
2025-05-13 14:45:00-04:00,422.15,422.7,422.01,422.64,32839.0,422.252,188
2025-05-13 15:00:00-04:00,422.61,422.71,422.4,422.67,40583.0,422.591,128
2025-05-13 15:15:00-04:00,422.67,422.79,422.41,422.58,39042.0,422.591,242
2025-05-13 15:30:00-04:00,422.59,423.11,422.59,422.92,57788.0,422.931,270
2025-05-13 15:45:00-04:00,422.85,422.87,421.42,421.42,301598.0,421.776,1734
2025-05-14 09:30:00-04:00,422.08,422.66,422.0,422.0,185687.0,422.303,1096
